S1E1,Dialogue
BOJACK, Let you?
ANGELA," You probably don't even remember, but I had this whole speech I practiced in the mirror. I was terrified you were going to call my bluff."
BOJACK," Bluff? All this time, I thought there was nothing I could have done..."
ANGELA, I guess I bluffed good!
BOJACK, I'm not taking your stupid deal.
ANGELA," No! You signed! Stop, you idiot! "
BOJACK, No. No! Why should I give you what you want? You took everything from me.
ANGELA, My job was on the line. You have no idea-
BOJACK," Every stupid decision I made, every bad thing that has ever happened, it all started because of you."
ANGELA," Grow up. You play these games, ""if I hadn't done this, if I wasn't so that,"" but you did and you were and here we are."
BOJACK, I can't... I...
ANGELA," Here we are! Because we did what we had to do. So, what do you have to do now?"
BOJACK," Oh, God."
ANGELA," That's right. Now, another drink?"
HELEN, Please! Don't hurt him!
MARGO, Boy dies if you don't got the pies.
HELEN, We have them. Jorge? Go! Go!
JORGE," Whoa, whoa! Hey, hey! We should have boxed them!"
BOTH, No!
HELEN, Please don't hurt him. I never got to make it right. I've ruined my chance...
MARGO," Spare me the deets. I just want the freets. Frito pies, that is."
HELEN, Oh! No! Stop! 
TODD, Mom! Mom!
JORGE, Helen? Are you all right?
TODD, It's okay. It's not real. I'm fine! It's a classic Todd shenanigan! But how would you know what that is?
JORGE, I think my wife is having a heart attack.
TODD," That's Margo Martindale, the actress!"
MARGO," I'm sorry! I'm sorry! I was too convincing! Oh, if only I wasn't so good at acting!"
ANGELA," It's funny, isn't it? The things that matter? The truth is none of it matters and the truth is it all matters tremendously. It's a wonder any of us ever get out of bed at all. And yet, we get out of bed."
BOJACK, I'm going home.
ANGELA, What are you doing?
BOJACK, I'm taking your car.
ANGELA, What?
BOJACK," You're not using it. Someone should get some pleasure out of something in this sad, stupid world. Consider it a signing bonus."
ANGELA, Ugh.
BOJACK,  And I'm taking these.
MR. PEANUTBUTTER, But the lazy Susans turned out to be very problematic.
DIANE, Why?
MR. PEANUTBUTTER, Offensive to Susans. There was a protest organized by Susan Sarandon.
DIANE," Oh, no!"
MR. PEANUTBUTTER, Not that many Susans showed up. You know what they say about Susans.
DIANE, They're lazy?
MR. PEANUTBUTTER," Suddenly you're desperately seeking them. Anyway, I don't know how we got talking about me for so long. You were gonna tell me about your boyfriend. It's good?"
DIANE," It's really good. When I'm with him, I feel like I'm part of an ""us,"" you know? Like, every other relationship, I always felt like a ""me"" in a relationship. Does that make sense?"
MR. PEANUTBUTTER," Uh, yeah. That makes sense. Sorry. I-I didn't realize I was doing that. I've always tried to be an ""us"" with people even when I could see it wasn't a good idea. Now that I'm single, I feel like I'm finally learning how to be a ""me."""
DIANE, That's great.
MR. PEANUTBUTTER," I know there were times you would try to tell me something and instead of listening, I just tried to fix it or convince you there wasn't a problem. I shouldn't have done that."
DIANE, We're all doing our best.
MR. PEANUTBUTTER, I wanna know now.
DIANE, Know what?
MR. PEANUTBUTTER, Tell me what it's like to be Diane.
DIANE," Okay. When you're Diane, you can live your whole life like it's a puzzle, put together from the pieces of different sets."
MR. PEANUTBUTTER, Like a crossover puzzle?
DIANE, Exactly. Your whole life is full of these pieces that don't quite fit.
MR. PEANUTBUTTER, Sounds like a hard puzzle.
DIANE," But at some point, you start to think it's you. You're the piece that doesn't quite fit. And you spend so long with that feeling that the feeling becomes your home. And it can be jarring when you discover one day that you suddenly don't feel that way anymore. At first, you don't trust it. But then, gradually, you do. I'm sorry. That was a weird thing to be telling my ex-husband."
MR. PEANUTBUTTER," No. I'm really happy for you, Diane."
DIANE," It's funny. I feel like if we met each other as the people we are now, things would be totally different with us."
MR. PEANUTBUTTER," Yeah, but if we hadn't met each other until now, we wouldn't be the people we are now."
DIANE, Yeah.
MR. PEANUTBUTTER, Two equally accomplished book writers.
DIANE, Uh-huh.
DOCTOR," You suffered an anxiety attack. I'd encourage you to avoid stressful situations like, uh, fake kidnappings under abandoned bridges. Okay, paperwork time. You seem like a fellow who enjoys unnecessary bureaucracy."
JORGE," I do, Doctor."
HELEN," Mm, was that the bridge where they shot Grease?"
TODD, Yeah!
HELEN," That's neat. Todd, I'm so sorry!"
TODD," Oh, no, I know you didn't mean to-"
HELEN, I thought kicking you out was the right thing. You were 18. You had dropped out of high school. You were always high. You only wore flip-flops. You never showered.
TODD, You don't have to list everything.
HELEN," I wanted you to grow up, not leave forever. Then more and more time passed and I didn't know how to make it right."
TODD," Truth is, I did grow up. Your plan worked. I haven't had a mom for so long, I...I don't really need one anymore."
HELEN," Oh. So, what do we do now?"
TODD," Well, I do have one idea."
HELEN, What?
TODD," A big robot suit like in Aliens, but for babies so they can do grown-up things!"
HELEN, That sounds dangerous.
TODD," Yeah, I guess it is."
HELEN, But maybe the robots could be powered by energy generated from sucking on pacifiers.
TODD, That is so smart! Babies love sucking and right now it's just wasted energy!
MARGO," And so you see,the circle had become complete. All the twists and turns had all been part of a beautiful tapestry, a grander mission to bring this boy and his mother together again."
JUDGE," That's quite a story.But you've killed a lot of people.Margo Martindale, you're going to pris-"
NICOLE, Wait! You can't send her to jail before she gets to act in one of my movies!
JUDGE, Indie filmmaker Nicole Holofcener? I find it hard to believe Margo Martindale has never appeared in your work.
NICOLE," It's true! And I need her to play the mother of the poetry student Catherine Keener has an affair within my new film, ""Classroom Warfare."""
MARGO," Ooh! Can I, Mr. Judge? Please?"
JUDGE," Damn, that does sound good. Okay, you're free to go."
MARGO, Yee-haw!
BOJACK," Come on. Open. Open! Open up! God. Where's my stupid...Why is everything so difficult? Have it your way, door. Todd! How come we never go swimming? This is terrible. Well, hello. Who put pills in my house?"
PRINCESS CAROLYN," Judah, you were supposed to have the night off! Your hair is so long!"
JUDAH, I'd rather be here.
PRINCESS CAROLYN, I know. Would you think I was an idiot if I didn't go work for Turteltaub?
JUDAH, I would never think you were an idiot.
PRINCESS CAROLYN," This slate we're putting together...We could get some financiers and do it ourselves, right?"
JUDAH," If there's one thing I know about this business, it's never underestimate what Princess Carolyn can do by herself."
PRINCESS CAROLYN," Well, not all by myself."
JUDAH,  Well... 
PRINCESS CAROLYN," I've got the babysitter 'til 11,00. We might as well keep working, right?"
JUDAH, How can I help?
PRINCESS CAROLYN, Why don't you play me one of your songs?
JUDAH," ? I strive for precision ? ? My aim is to be accurate and clear ? ? I don't say thingsI don't know to be true ? ? So believe meWhen I tell you I love you ? ? I don't write good love songs ? ? I'm not adept with metaphors or rhymes ? ? I just want to describeThe things I know ? ? And the only thing I knowIs that I love you ? ? Please believe me when I tell you ? I love you, Princess Carolyn."
BOJACK, Mm. What are you so happy about? BoJack Horseman. Six-foot-five.
HERB, All right. Whenever you're ready.
BOJACK, A mustard sandwich? We may be orphans but leave us our dignity.
HERB," Uh, BJ, that's Ethan's line."
BOJACK," Oh, right. Uh... Orphans, huh? What am I supposed to feed you?"
HERB," All right, stop. You're nervous."
BOJACK, Oh.
HERB, Forget the script.
BOJACK, Okay.
HERB," We're gonna do that movie that you're always making me watch. You know...You have to answer for the chimpanzee, Tino."
BOJACK," No, Mickey, you got it all wrong!"
HERB," So, where'd all the bananas go? The chimp's dead, Tino. So's the bonobo. Who you been monkeyin' around with?"
BOJACK, I can't do it anymore! It was the marmoset!
HERB, Good. Perfect. Now look at the red dot. Go!
BOJACK, What am I supposed to feed you? I have mustard.
HERB, A mustard sandwich? We may be orphans but leave us our dignity.
BOJACK," Well, I can't fix you a martini. Hey, wait! I have olives!  Nope. Not olives."
HERB, Perfect!
BOJACK," Yeah? You, you think we got it?"
HERB," Buckle up, buddy,your life is about to start."
BOJACK,"  ? Ch-ka, ch-ka, ch-ka, ch-ka, ch-ka, ah ? ? Ch-ka, ch-ka, ch-ka, ch-ka, ch-kaBoJack ? ? Whoa, whoa, yeah! ? ? Hey ? ? Now, boys and girlsIf you wanna do the BoJack ? ? Take your handsAnd put them on your lower back ? ? Walk in a circle and strut and strut ? ? Wiggle your hipsAnd jiggle your... uh-oh! ? ? Push away your troubles And pull up your pants ? ? And that's how you do The BoJack dance! ?? Hey ?"
,
S6E15,
SARAH, What you got there?
BOJACK, I think it's a hydrangea.
SARAH, Does she even like that kind of plant?
BOJACK, Probably not. She doesn't like anything.
BEATRICE," Hello, BoJack."
BOJACK," Thanks for having me, Mom."
BEATRICE," You're the guest of honor. Everyone, BoJack is here."
HERB," Hey, buddy! Get in here!"
BOJACK, For you.
BEATRICE," Oh, a plant. Dirt for inside. Goody. You got here just in time, BoJack. A bird flew in through the window and we're having trouble getting her out of the house."
SARAH,"  Yeah, call yourself early and go get a worm!"
CRACKERJACK," Golly, she's more coy than a coyote claiming a cottontail."
ZACH BRAFF," Ahem. Phone for you, Mrs. Horseman."
BEATRICE," Thank you, butler."
BOJACK, Is that Zach Braff?
BEATRICE, Who?
BOJACK," Zach Braff. Actor, independent filmmaker, real-life friend of Donald Faison?"
BEATRICE, You mean my butler?
ZACH BRAFF, At your service! I actually was friends with Donald in real life. He's a spectacular man-
BEATRICE, Butler!
ZACH BRAFF, Sorry! Phone call for you.
BEATRICE," I'll take it in the kitchen. BoJack, make yourself useful for a change and help, will ya? With the bird? Hello? Oh, it's you."
HERB," All right. That does it! Son of a--! With a drop like that, you'd think she was the ratings for Veronica's Closet when it moved to Mondays."
BOJACK, Ugh. Comedy poison. Who wants to laugh on a Monday?
HERB," BJ! Finally made it to our little soirée, huh?"
BOJACK," Yeah, I kept having this dream where I was having dinner with all the people who were gone and I thought, ""I should do that!"" So, here I am."
CRACKERJACK, We've got to flank her from the left.
BIRD, Huh?
BOJACK, Hello. Crackerjack?
CRACKERJACK, That's what it says on my underpants!
BOJACK, The uncle I never met and yet could never live up to! 
CRACKERJACK," All right, soldier. Ready, aim..."
BOJACK, Huh?
CORDUROY," Hey! What's up, man?"
BOJACK," Hey, Corduroy. Good to..."
CORDUROY," Still weirded out because the last time you saw me I was naked, hanging from my iPhone charger, holding a lemon, with a very erect penis despite being deceased in my trailer for over an hour?"
BOJACK, Yep.
CORDUROY," You're gonna have to get over that, buddy. Hmm. Mm. Ooh."
BOJACK, What are you...? Stop that.
CORDUROY," Oh! Oh, sorry. Forgot where I was for a second."
SARAH, Think this'll help?
CRACKERJACK, Kid's got the right idea. We can chuck the choker and spook her with this poker!
HERB, Show her who's boss!
SARAH, Ruffle her feathers!
CORDUROY, Get her to the kitchen!
BOJACK, And that!
SARAH, All right!
HERB, Go!
CRACKERJACK, Ha-cha!
BEATRICE," Yes, yes, BoJack bullied a bird. Bully for him. Speaking of useless, my husband is running late, so we're gonna start dinner without him."
CRACKERJACK," He'll be here before the show starts, won't he?"
BEATRICE," He'd better be. In the meantime,let's adjourn to the dining room before our dinners get as cold as my parenting style."
SARAH, I think mine would be the first time someone asked for my autograph.
BOJACK, Really?
CORDUROY," Oh, wow!"
SARAH, I didn't even know how to write my name! I just drew a squiggle!
ZACH BRAFF, Water?
BOJACK," Thank you, Zach Braff."
SARAH," You only get to give your first autograph once, you know. The second time it becomes an obligation, the third time a chore. But the first time... The first time... "
BOJACK, Hey. What is that?
ZACH BRAFF," Ah, ah, ah. Shh."
BOJACK, Mm.-Okay. My turn.
CRACKERJACK, Mine was also when I signed on a dotted line to enlist.
BEATRICE," Are you ready to sing ""The Lollypop Song"" in the big show later?"
BOJACK," No, Mom. You know I never make it to the show."
CRACKERJACK, I didn't know then that enlisting would lead to my two worst parts.
CORDUROY, You have two? I didn't know we could pick two.
HERB," Corduroy, it's a conversation, not an assignment."
CORDUROY," In that case, I have three."
HERB, Three is way too many.
CRACKERJACK," My worst parts were saying goodbye to my mother and seeing a bullet go straight through my general's face, right before it hit my own."
HERB, At least your death was instantaneous. I can still hear the loud drips of my IV from when I had cancer. Drip. Drip.
BOJACK, Ooh.
CORDUROY," What about you, BoJack?"
BOJACK, What?
CORDUROY," Best part, worst part, what about you? Well, I guess my worst part has to be, um... Right before I got here, I think? Uh... I went to Angela Diaz's house. Ugh! Does anyone else's water taste like chlorine? Hey, Braff, can I get some different water over here?"
ZACH BRAFF," Right away, Mr. Horseman."
CORDUROY," Crackerjack, do you think your death meant something because it was in the service of a greater cause?"
CRACKERJACK," Aw, shucks."
BEATRICE, Of course it meant something.
CRACKERJACK, I think questions like that are too big for a little soldier like me.
BEATRICE, My brother gave the ultimate sacrifice.
CORDUROY, Because sometimes I wonder
BOJACK," But see, this is where I get hung up, because when we valorize the idea of sacrifice, of loss, of suffering-"
BEATRICE," BoJack, don't start with this again."
BOJACK," When we grow up in a house that does that, we internalize this idea that being happy is a selfish act, but sacrifice doesn't mean anything."
SARAH," Yes, it does."
BOJACK," Sacrifice? In the service of something greater, maybe, but just in and of itself? What's the good in that?"
SARAH," A lot. Sacrifice is good. It has to be because I sacrificed a ton, and I was freaking awesome."
BEATRICE," Oh, and what did you ever sacrifice?"
SARAH, I gave everything. I gave my whole life.
BEATRICE, You died in a hedonistic bender.
SARAH, I'm not talking about my death. I'm talking about my life. I gave my whole life.
HERB," If we get into everyone's whole life, we're gonna be here all night. It's called ""Best Part/Worst Part,""not ""Everything That Ever Happened."""
SARAH," Okay, worst part; the 2007 ""Sexually Confident Virgin Tour."" My manager leaked nudes to get more tour dates added, my mom pointed out every carb I ate, it was hell. But it gave millions of fans a show they will never forget. And that is worth something."
CORDUROY," No, that's a high you chase."
SARAH, It was not.
CORDUROY, You think you singing songs on stage is the same thing as this guy who died liberating the camps?
CRACKERJACK, We don't need to compare apples to Auschwitzes.
SARAH," Herb, tell 'em. It means something-the work we do, the joy we bring. It has to, right?"
HERB," Boy, I sure thought so.I-I used to really believe in it. I mean, I was one ""trapped in an airport during a snowstorm on the eve of the dance championship guest starring Gregory Hines"" episode away from an Emmy. Then I lost it all."
BOJACK," Ow! Seriously, is no one noticing this leak?"
BEATRICE," Fine, we'll get a bucket."
BOJACK, The drips are hitting me!
BEATRICE, Then you'll hold the bucket.
HERB," But the funny thing is, it wasn't until I got fired that I actually became myself. I was out of the closet. I was free. I was authentically me."
SARAH, What does being authentic have to do with anything?
HERB," Well, when I wasn't hiding behind some facade, I could be at peace. That's when I really got into philanthropy."
CORDUROY," Can I ask you something, Herb?"
HERB," Why do people say that? If you're asking it, then yes, you can and you will and you just did."
BOJACK," Yeah, why are we announcing our questions?"
HERB," Yeah, what are these questions, royalty?"
BOJACK, Announcing King and Queen Query of the Interrogative Isle.
HERB, May I ask you how do you do?
BOJACK," Very well, thanks."
HERB," Ah, bup, bup, bup! I didn't ask you yet. I asked if I could ask you."
CORDUROY," Did you get pleasurefrom your charity work? Like real, deep pleasure?"
HERB, It dwarfed every other joy in my life.
CORDUROY," Doesn't count then. If you got pleasure, it wasn't selfless. And it's only good if it's selfless."
HERB," Who made up that rule? I helped people. Who cares if it made me feel good, too?"
CORDUROY," Feeling good is inherently selfish. If I'd given myself to Christ, truly went down the path-"
BEATRICE, I don't care for this talk of religionin my house.
CORDUROY," If I wasn't constantly trying to feel good, get it better, always looking for maximum pleasure... That was my worst part. Well, one of the three worst parts. Wait, actually, can I have four?"
BOJACK, Discovering you in your trailer definitely cracks my top five.
SARAH, This is bullshit! I did a lot for a lot of people! I was not a bad person.
BOJACK," No one is accusing youof being a bad person, Sarah Lynn."
SARAH," You are! You all are with your ""being authentic"" and ""charity work"" and ""killing Nazis."""
CRACKERJACK, I actually never killed a Nazi.All my kills were friendly fire. I also never liberated any camps. I'm honestly not sure what I did.
ZACH BRAFF," Here you go.Your husband just pulled up, ma'am."
BOJACK," Wait, Dad's here? He's never made it to dinner before."
SARAH," Hey, here's a question."
HERB, Another question has arrived!
SARAH," Did any of you have a song of yours played in outer space? Anyone? No. Just me? Oh. That's what I thought. My hit single ""No, No, No (No Means Yes)"" is making its way to Mars! That means something. I will be remembered. That has to mean something. I will be-"
BUTTERSCOTCH, Sorry I'm late. Did I miss the show?
CORDUROY, Hey!
CRACKERJACK, There he is! There's our guy!
BOJACK, Dad!
SARAH, I...
BEATRICE," Oh, you didn't miss a thing. It's not like we have anywhere to be. Why shouldn't we all bend ourselves to your schedule?"
BUTTERSCOTCH, I already apologized. I was running.
BEATRICE," Yes. As always, running late, while I was running myself ragged trying to get dinner on the table. Yes, you helped."
BUTTERSCOTCH, And now I'm running out of patiencefor you running your mouth.
BEATRICE, And I'm running out the clock until we both... Well. Here we are.
BUTTERSCOTCH, I'll just squeeze in here. Get yourself something nice.
ZACH BRAFF," Ooh! Thank you, Mr. Secretariat."
BUTTERSCOTCH, What'd I miss?
HERB," We're playing Best Part/Worst Part. Ooh! I got one! Machu Picchu. When I left ""Horsin' Around,"" I honestly thought about killing myself."
BOJACK," Shit, Herb. Really?"
HERB, Yeah. But the Knicks were having a good season and I wanted to see what happened.
BOJACK," Wait, you didn't kill yourself because the Knickswere having a good season? What would you have done if they were having a bad season?"
HERB, I don't know. Gotten into baseball?
BUTTERSCOTCH," Oh, for the love...Where's your follow-through? It's like you didn't even wanna kill yourself!"
HERB, And I'm so glad I didn't. Because there I was ten years later at Machu Picchu and I realized there was so much more I could do in a life.
BUTTERSCOTCH," Okay, my turn. August 22nd, 1973,I was banned from running ever again. And running, well, that was the only thing that ever made sense to me, so if I couldn't do that I was nobody."
CRACKERJACK, This is your worst part?
BUTTERSCOTCH, Best part; jumping off that bridge.
CORDUROY, Jesus.
BEATRICE, What did I say about the Jesus talk?
BUTTERSCOTCH, It was my choice.I got to go on my own terms. Not a lot of people can say that.
SARAH, No.
CRACKERJACK, That's true.
BUTTERSCOTCH," The view from up there. Eh, you wouldn't believe it."
BEATRICE," Oh, my. "
BOJACK, It must've been from swimming earlier.
BEATRICE," Oh, you were swimming?"
BOJACK," Yeah. I, um... When was I swimming?"
BUTTERSCOTCH, Don't think about that. Do you have a best part?
HERB," Oh, uh, I don't know."
BOJACK," This past year I took a teaching job. And I had this one student who was really struggling, just couldn't get over this hump."
BEATRICE," And what, you helped him do good in a scene? For your class? That's the best part of your whole life?"
BOJACK," I don't know, I was just spitballing. I didn't know you were gonna put me on the spot like this!"
HERB," Come on, buddy.What was so special about that moment?"
BOJACK, It felt good to help someone do something.
HERB," See? Helping someone, like I said!"
CORDUROY," But he liked it because it felt good,like I said!"
BOJACK," I liked it because it reminded me of when I was young, just starting out. You and me, screwing around, hitting up open mics. Trying to figure it out. I think... I think that was the best part."
HERB, Really?
BEATRICE," Well, are we ready to start the show?"
CORDUROY, Let's do this!
BOJACK," Okay, nice seeing you all!"
SARAH, You're not coming?
BOJACK," This is always the part where I wake up. You all go to the show. Zach Braff says ""Pardon my reach"" even though he can clearly get my plate from another angle. Then I wake up."
SARAH," Oh, okay. Next time then."
ZACH BRAFF, Pardon my reach.
BOJACK, Hmm.
HERB," Hello, everyone! Please take your seats. Tonight's show is in honor of BoJack Horseman! What do you say, huh? Should we get this show started? Yeah! Tonight's opener needs no introduction, but I'm gonna give her one anyway. Ladies and gentlemen, the one, the only, Sarah Lynn!"
SARAH," Thank you, thank you! I'd like to dedicate tonight's performanceto the man of the hour, BoJack Horseman!"
BOJACK," Sarah Lynn, I'm so sorry for everything that happened with you. With us. I should have protected you..."
SARAH," Ah, ah, ah. BoJack. This is my time."
BOJACK, Yes. Of course. Sorry.
SARAH," ? Life is a never-ending show, old sport ? ? Except the minor detail that it ends ? ? The overture's a lifetimeBut the show is short ? ? Here with all your family and friends ? ? You run the raceYou blurt your lines ? ? They put your faceOn shirts and shrines ? ? And giant signs a thousand feet tall ? ? And don't stop dancingDon't stop dancing ? ? 'Til the curtain call ? ? Shows are a never-ending lifeOf course ? ? A silhouette that staysWhen you are gone ? ? What use is the struggleAnd the strife, old horse? ? ? End it and your legacy lives on ? ? The chatter stopsThe crowd departs ? ? A needle drops, the music starts ? ? A song you taught me when I was small ? ? Don't stop dancing ? ? Don't stop dancing ?"
BOJACK, Sarah Lynn? Sarah Lynn!
HERB," Okay, performing an interpretive aerial routine, your friend and mine,and a killer hang...Corduroy Jackson-Jackson!"
BOJACK, Where did Sarah Lynn go?
HERB, Shh. Try to enjoy the show.
CORDUROY, Ha!
BOJACK, Where does this door go?
HERB," Sit down, buddy. You'll get your turn."
BOJACK," No, I need you to tell me- What?"
HERB, Watch out! That's a series wrap on Corduroy Jackson-Jackson!
BEATRICE," Down in front, please?"
HERB," All right, let's keep this show going, huh? Next up, you know him, you love him, please a give a warm, warm, burning hot welcome to..."
BUTTERSCOTCH, Hey. You wanna grab a smoke?
HERB,...Zach Braff!
BOJACK," Yes. Yeah, let's get out of here."
ZACH BRAFF," Oh-ho, whee! I'm honored.Honored, honored."
BOJACK," So, what's on the other side of that door?"
BUTTERSCOTCH, The nerve of that guy. With the beard. Herb?
BOJACK, Yeah. Herb.
BUTTERSCOTCH," What, he says he's at peace?'Cause why, Machu Picchu? I don't buy it."
BOJACK, I don't know. I... I believe him.
BUTTERSCOTCH," I promise you, every single person in that room would go back if we could. Peace? That's someone trying to convince himself of something."
BOJACK, Of what?
BUTTERSCOTCH," That life has meaning or purpose, that...that if you check the right boxes and do the dance, then you get a little parting gift at the end, a framed certificate that says,""Congratulations, you've got peace."""
BOJACK, I wouldn't mind that.
BUTTERSCOTCH," But guess what? All the time those people spent, trying to do good or help people or be something? I did none of that shit,and yet here I am, same as them."
BOJACK, You were the fastest runner in the world.You inspired millions.
BUTTERSCOTCH," And yet, here I am, same as you."
BOJACK," So, if you could go back, do it again, what would you do different?"
BUTTERSCOTCH, What would I do? I wouldn't have cared so much.
BOJACK, Cared about what? Racing?
BUTTERSCOTCH," About everything. I know this part is confusing because I'm Secretariat and also your dad for some reason, but speaking as your dad, it's important that you know that I cared."
BOJACK," No. You never cared.You cared about your book. You cared about getting drunk and telling everyone how miserable you were, but that's not caring."
BUTTERSCOTCH," You think I didn't care because I put up walls, but I cared so much, BoJack. About you, about your mother. I wanted you to respect me. I wanted you to love me. I was so afraid that you would know that. I cared so much."
BOJACK, It's a shame that we could never talk like this in real life.
BUTTERSCOTCH, All the good it would have done.
BOJACK," Least we got the chance this time, before I wake up."
BUTTERSCOTCH," Wake up? Oh, you're not getting it, are you?"
BOJACK, Getting what?
ZACH BRAFF," Loss is a collaborative art, between the people who leave us and those who remain. We dance with the shadows of their absence. With that in mind, I present to you..."
BOJACK, Stop the show!
ZACH BRAFF, Excuse me.
BOJACK, What's happening?
ZACH BRAFF, You're being very rude.I was about to do my roller-dance routine.
BUTTERSCOTCH," Calm down, son."
ZACH BRAFF," Yes, why don't you sit down, and--"
BOJACK, No!
ZACH BRAFF," Whoa, whoa, whoa, whoa, no. Please! I'm not ready. I never got to direct my Backdraft remake; ""Zach Braff's Backdraft""! I never finished my memoir; ""I Started A Zach Which Started The Whole World Braffing!"" I never got to license the Zach Braff Short StackBreakfast Attack at Shake Shack! Cash-strapped hash brown fans who hashtag ""Zach's snacks"" get cash back fast with the Braff Bucks app!"
BOJACK, I need to wake up. I can't be here.
BEATRICE, Of course. Everything's always about you.
HERB," BJ, buddy..."
BOJACK, Herb! How did I get here?
HERB, How the hell should I know?
BOJACK," I broke into my house. But it wasn't my house anymore. I was... I was watching the ""Horsin' Around"" Blu-ray. Yes. Yeah, and I drank some more and I found some pills. And then I went swimming... No! No! No! No, wait, wait, wait! I got out of the pool. Yes! And I called Diane!"
HERB," BoJack, we're trying to do a show here."
BOJACK," But I called Diane. I couldn't have drowned if I got out of the pool to call Diane! So, I shouldn't be here. If I could just finish the conversation. Where's a phone?!"
HERB," All right, ladies and gentlemen, we have a real treat for you next. A real treat. Come and see him before he makes a run for it."
BOJACK, No! Stop!
HERB, It's Secretariat!
CRACKERJACK, Stay calm. Flyin' off the handle won't change a thing.
BEATRICE, This was gonna happen to you one of these days.
BUTTERSCOTCH," A poem. Original, obviously. It's called ""The View from Halfway Down."" ""The weak breeze whispers nothingThe water screams sublime His feet shift teeter-totter Deep breath, stand back, it's time Toes untouch the overpass Soon he's water bound Eyes locked shut but peek to seeThe view from halfway down"" I'm not done. Hold on. I'm not done. I'm not done. ""A little wind, a summer sun A river rich and regal A flood of fond endorphins Brings a calm that knows no equal You're flying now You see things much more clear Than from the ground It's all okay, it would be Were you not now halfway down Thrash to break from gravity What now could slow the drop? All I'd give for toes to touch The safety back at top"" I change my mind. I change my mind. I don't wanna-"
HERB, It's okay.
BUTTERSCOTCH," ""But this is it, the deed is done Silence drowns the sound Before I leaped I should have seen The view from halfway down No! I really should have thought About the view from halfway down"""
HERB," Find your peace, big guy. Find it."
BUTTERSCOTCH," ""I wish I could have known About the view from halfway down--"""
BOJACK, I need to get out of here! Wha-
HERB," BJ, where do you think you're going?"
CRACKERJACK," Nothing you do in here matters, pal."
BEATRICE," Yelling and struggling isn't gonna pull your body out of that pool, so you might as well just-"
HERB, Sit down! 
BOJACK, But I...
HERB," Look, BJ, it's possible that someone is going to find you and save you, and it's also possible that someone won't. We don't get to know."
BOJACK, Can I ask you a question? Has anyone ever come back from this place?
HERB," BJ, there is no place. It's just your brain going through what it feels like it has to go through. All you can do right now is sit back and enjoy the show. Folks, here is Beatrice Horseman with her younger older brother, Crackerjack!"
BEATRICE, Hoo! This is the hard part. 
CRACKERJACK, Golly.
BEATRICE, And now the easy part.
CRACKERJACK, Over and out!
HERB," Wow. Beatrice Horseman, huh? You know, she was gonna sing for us tonight, but apparently, she was a little ""horse."" Okay. You ready for the headliner?"
BOJACK, No.
HERB, Please welcome to the stage...-[drumroll]
BOJACK, No. Please.
HERB," The star of ""Horsin' Around"" and ""The BoJack Horseman Show""! ""Philbert""! ""Secretariat""! The upcoming ""Horny Unicorn""! Son of Butterscotch and Beatrice! Husband to no one! Father to none,that we know of! Stand-up comedian, actor, crippling alcoholic! A talented charmer and a stupid piece of shit. It's... BoJack Horseman!"
BOJACK, Is it terrifying?
HERB," No. I don't think so. It's the way it is, you know? Everything must come to an end, the drip finally stops."
BOJACK, See you on the other side.
HERB," Oh, BoJack, no, there is no other side. This is it."
BOJACK," Wait, wait, wait, wait, wait. I... I need to make a phone call. Hello? Someone? Anyone? I'm looking for a phone. Diane! Diane! Are you there? Diane! I need you!"
DIANE, BoJack?
BOJACK," Diane! Thank God! Thank God, Diane. Okay, Diane. Diane, you're gonna save me, right? I called you and you're coming to get me?"
DIANE," BoJack, why did you call me? I live in Chicago. I can't save you."
BOJACK, You didn't pick up.
DIANE, Right.
BOJACK, It went to voicemail.
DIANE, Yeah.
BOJACK, And then... I went back in the pool.
DIANE, It's too late. What's done is done.
BOJACK, No.
DIANE," There's nothing I can do, BoJack. I'm not real. None of this is."
BOJACK," So, what do I do now?"
DIANE," BoJack, it doesn't matter."
BOJACK," Well, if it doesn't matter, can I stay on the phone with you at least?"
DIANE, Okay.
BOJACK, How was your day?
DIANE, Good.
BOJACK, Yeah?
DIANE, Yeah. My day was good.
,
S6E16,
BOJACK," Look, nothing's easy. But I wouldn't be talking to you now if I didn't believe that it wasn't too late for us. So what are we doing here? I don't know about the rest of you, but I'm here to put on the best goddamn production of Hedda Gabler this supermax prison has ever seen! So let's take it back to Mrs. Elvsted's entrance, and remember, if you're on stage, I can see you, you're in character, you have an opinion about the return of Ejlert Løvborg. Oh, shit, is it 10,30 already? Okay, look, guys, I gotta go, but I'll be back tomorrow and we'll pick up rehearsals Monday. If everyone could be off-book by then,that would be phenomenal. Schlesinger, if you have time to fashion a shiv and organize a jump on the rats in Block C, you have time to learn your lines, 'kay? Priorities."
MR. PEANUTBUTTER," There he is! Uh-oh! America's most wanted over here, huh?"
BOJACK, Thanks for picking me up.
MR. PEANUTBUTTER," The jury finds you guilty of being a super-cool dude, am I right?"
BOJACK," You're extremely clever, can we go?"
MR. PEANUTBUTTER, I sentence you to life...filled with my friendship!
BOJACK," If this is my only other option, I choose prison."
MR. PEANUTBUTTER," So you were just planning on wearing this to the wedding? Really leaning on that ""optional"" in black tie optional."
BOJACK, These are the clothes I went in with. I didn't know I'd be going to a wedding in a year.
MR. PEANUTBUTTER," That's why you always gotta packa spare suit, just in case. What are you in for again?"
